wl_nm,intensity,n_BK7,n_SF2,n_SF5,n_BAF10,n_SF10,n_BAK4,n_SF57
564.1,0.2279183716,1.51783841716813,1.6501193352466952,1.6753608067586616,1.6718442828558089,1.7315017814234313,1.5701337019605308,1.8511329648751378
564.2,0.2304666489,1.5178337327272962,1.6501082559385194,1.6753493363154457,1.6718359918109102,1.731487106315845,1.570127716120585,1.851112593035922
564.4,0.2353250533,1.5178243705856682,1.6500861288660746,1.6753263954290136,1.671819436819844,1.7314577804347742,1.570115757318645,1.8510718822766943
564.5,0.2392308265,1.5178196928848744,1.650075081101806,1.6753149249857977,1.6718111731893297,1.7314431297317234,1.5701097848028611,1.8510515429857757
564.7,0.233515054,1.5178103442233275,1.6500530171171763,1.6752919840993656,1.67179467444747,1.7314138529766767,1.5700978546571895,1.8510108956540623
564.9,0.2328720391,1.5178010045485009,1.6500309951910894,1.6752690432129336,1.6717782147833458,1.731384609324484,1.5700859458467478,1.8509702887528248
565.0,0.2394689918,1.517796338081108,1.65002,1.6752575727697177,1.67177,1.73137,1.57008,1.85095
565.2,0.233515054,1.517787011886362,1.6499980411617283,1.6752346318832856,1.6717536009610092,1.7313408064693263,1.5700681262184784,1.850909451354474
565.4,0.2325624377,1.517777694678337,1.649976124382,1.6752116909968535,1.671737242003086,1.7313116463797376,1.5700562763112884,1.850868941781146
565.5,0.2359680831,1.5177730394443447,1.6499651817640897,1.6752002205536376,1.6717290772762172,1.7312970788489837,1.5700503602673943,1.8508487019175464
565.7,0.2373255789,1.5177637357163998,1.6499433280721758,1.6751772796672055,1.6717127767700486,1.7312679687628234,1.570038545912659,1.8508082525784515
565.8,0.2355870306,1.5177590872224478,1.6499324169981726,1.6751658092239896,1.6717046407681029,1.7312534261863233,1.570032647567278,1.8507880433197479
566.0,0.2363729477,1.517749796974584,1.6499106263940742,1.6751428683375575,1.6716883967098728,1.7312243659137512,1.5700208684541428,1.850747656166006
566.2,0.2367063612,1.5177405157134407,1.6498888778485183,1.6751199274511257,1.6716721891703703,1.731195338744771,1.5700091126627111,1.8507073115531214
566.3,0.2351821661,1.5177358784528892,1.6498780193476943,1.6751084570079096,1.6716640988168348,1.7311808375477615,1.5700032434694595,1.8506871554704896
566.5,0.2382067591,1.5177266106718266,1.6498563338899537,1.6750855161214775,1.6716479443855772,1.731151859875969,1.5699915224015384,1.8506468762948247
566.6,0.2395166159,1.5177219801513155,1.649845506933037,1.6750740456782616,1.6716398800852088,1.7311373833800927,1.5699856704923283,1.850626753418582
566.8,0.2354679555,1.517712725918333,1.6498238723040763,1.6750511047918295,1.671623776758379,1.7311084550156484,1.5699739838370637,1.8505865416312568
567.0,0.2392070144,1.5177034808080692,1.6498022552155882,1.6750281639053974,1.671607706387937,1.7310795594173018,1.5699623199508732,1.850546375853447
567.1,0.2387306988,1.5176988616739564,1.649791453249021,1.6750166934621815,1.6715996832830535,1.7310651238790489,1.5699564965030062,1.8505263104890988
567.3,0.2375875413,1.5176896302477707,1.649769862471242,1.6749937525757497,1.671583660677346,1.73103627727165,1.5699448665113822,1.8504862153514954
567.4,0.2421601713,1.5176850179556978,1.64975907366003,1.6749822821325335,1.6715756609538757,1.7310218661814103,1.5699390599330858,1.8504661857950309
567.6,0.2480902821,1.5176758002135902,1.6497375091929602,1.6749593412461017,1.6715596841090865,1.730993068375119,1.5699274635251748,1.8504261632487538
567.8,0.2433271408,1.5176665915942011,1.649715962266363,1.6749364003596694,1.671543736658344,1.730964302997432,1.5699158893337088,1.8503861901806502
567.9,0.2427317351,1.5176619907055262,1.6497051953807418,1.6749249299164537,1.6715357736774337,1.7309499324429485,1.569910110525969,1.8503662224719024
568.1,0.2453991026,1.517652795770216,1.6496836747648542,1.6749019890300214,1.6715198686479158,1.730921215549969,1.5698985694001268,1.8503263252469928
568.2,0.2386592478,1.51764820172358,1.6496729210345875,1.6748905185868053,1.671511926376663,1.730906869190379,1.5698928070474845,1.8503063959476211
568.4,0.2464469969,1.5176390204723471,1.649651426729409,1.6748675777003734,1.671496061764553,1.730878200592266,1.5698812986764112,1.8502665765170248
568.6,0.2430889755,1.5176298483438335,1.649629949964703,1.6748446368139414,1.6714802229841512,1.7308495640852646,1.5698698119691548,1.85022681003326
568.7,0.2455419898,1.5176252657005969,1.649619218160027,1.6748331663707252,1.6714723130025324,1.7308352578395638,1.5698640766962828,1.850206946917428
568.9,0.2468518615,1.5176161072561607,1.6495977677060305,1.6748102254842934,1.6714565112998443,1.7308066693110282,1.5698526222257052,1.850167261479843
